Bangla,Chakma
অংশ,কত্তা
অংশ,বাক্
অংশ,ভাক্
অংশ,ধোর্
অংশ,কত্থা
অংশ,দাক্
অংশ,দাঘি
অংশ,পাপ্
অংশগ্রহণ করা,ফাগত্ সমানা
অংশীদার,সামিঃ
অংশীদার,সরিক্
অংশীদার করা,ফাগত্ লনা
অংশীদার করা,ফাগত্ মেঝানা
অংশীদার হওয়া,ফাগত্ সমানা
অংশীদার হওয়া,সমার্ বদানা
অংশীদার হওয়া,ফাগত্ মেঝানা
অকপট,তাচ্ তাচ্
অকপট,পরাক্ পরাক্
অকপট,পাং পাং
অকপট,সিধে
অকর্মণ্য,ভজা
অকর্মণ্য,আল্সি
অকর্মণ্য,ভুত্তো
অকর্মণ্যতা,আমন্যা
অকর্মা,ভজা
অকর্মা,আল্সি
অকর্মা,ভুত্তো
অকস্মাৎ,ঝাগত্
অকস্মাৎ,আবাধা
অকস্মাৎ,ফুজুত্
অকস্মাৎ,আদিখ্যা
অকুল,অকুল্
অকৃতকার্য,চুন্ধুল্
অকৃতকার্য,দুঃল্
অকৃত্রিম,চিত্ দিঘোল্
অকৃত্রিম,সুবুল্
অকেজো,অহ্দগজ
অক্ষ,ভার্বারি
অক্ষদন্ড,ভার্বারি
অক্ষর,আঘর্
অক্ষর,লেঘা
অক্ষর,অক্খর্
অক্ষর,আং
অক্ষয়,অক্খর্
অক্ষি গোলক,পদলা
অখাদ্য,মেদেরা
অখাদ্যকুখাদ্য,মেদেরা
অখুশি,বেজার্
অগণিত,অঘুর্
অগণিত,অসাগর্
অগণিত,তারা তারা
অগণিত,গণি বোরে নএছ্যা
অগত্যা,অতিত্তি
অগোছালো,করকারা
অগোছালো,চেদের্ ভেদের্
অগোছালো,ইহ্লেদারে
অগোছালো,হেঞ্জর্ মেঞ্জর্
অগোছালো,চদর্ ভদর্
অগোছালো,ভেদের্ চেদের্
অগোছালো,জাগুলুক্
অগোছালো,সেত্তেরা
অগোছালো,ঝিন্দুরুক্ কিন্দুরুক্
অগোছালো,ওলোঝোলো
অগোছালো,ভেগেদাল্যা
অগোছালো,অভেদর্
অগোছালো,ফুজুক্ ফাজাক্
অগোছালো,ফেজেরা
অগ্নি,আগুন্
অগ্নি,বর্ম়া
অগ্র,আক্
অগ্র,আক্কল্
অগ্র,জেত্
অগ্র,আক্মুলি
অগ্রগামী,আক্কল্
অগ্রগামী,আক্কে
অগ্রগামী,আক্কেন্দি
অগ্রগামী,আক্মুলি
অগ্রগামী,উজেয়ে 
অগ্রগামী হওয়া,আক্কোনা
অগ্রগামী হওয়া,আক্কল্ অহ্না
অগ্রগামী হওয়া,উজানা
অগ্রগামী হওয়া,আক্মুলি অহ্না
অগ্রণী,আক্মুলি
অগ্রসর হওয়া,উজোনা
অগ্রসর হওয়া,আক্কোনা
অগ্রহায়ণ মাস,আঘোন্ ম়াচ্
অগ্রাহ্যকারী,গাথ্যা
অগ্রাহ্যকারী,হিয়ে ন গরিয়ে
অগ্রে,আক্কল্
অগ্রে,আক্কে
অগ্রে,আক্কেন্দি
অঙ্কুর,কোর্
অঙ্কুর,গেচ্
অঙ্কুরোদগম হওয়া,গেজানা
অঙ্কুরোদগম হওয়া,কোর্ উদানা
অঙ্গার,আঙাড়া
অচঞ্চল,জুরো
অচঞ্চল,অলর্
অচঞ্চল,অলর্
অচঞ্চল,থিদো
অছিলা,উজুলো
অছিলা,ছুদো
অজগর সাপ,আজাব সাপ্
অজস্র,অধেল্
অজস্র,গোধেল্
অজস্র,অফুরন্দি
অজস্র,চেগার্
অজস্র,অঘুর্
অজস্র,বউহ্ত্
অজস্র,ভেদের্
অজস্র,সাগর্
অজস্র,সসাগর্
অজস্র,ভেবেরাইদে
অজস্র,ভেবেরাদাল্যা
অজস্র,অবাংপাদারে
অজস্র,অবাং
অজস্র,অসাগর্
অজস্র,অভেদর্
অজস্র,সসাগচ্যা
অজস্র,সাগর্
অজস্র,সাগচ্যা
অজুহাত,ছুদো
অজুহাত,উজুলো
অজ্ঞান,ফিত্
অজ্ঞান করা,মুচ্ঝো নেযানা
অজ্ঞান হওয়া,মুচ্ঝো যানা
অজ্ঞান হওয়া,থাদে পরানা
অজ্ঞান হওয়া,ফিত্ অহ্না
অঝোর ধারায়,উরুরুরুত্
অঝোর ধারায়,চেরাং চেরাং
অঝোর ধারায়,তেদের্ তেদের্
অঝোর ধারায়,ধেদের্ ধেদের্
অঝোর ধারায়,উহ্রুরুরুত্ গরি
অঞ্চল,চাগালা
অঞ্চল,বাম্
অঞ্চল,চাপ্
অঞ্চল,চাক্ 
অটল থাকা,গাচ্ গরি থানা
অটল থাকা,দড় গরি থানা
অটল থাকা,অলর্ থানা
অটোমেটিক,গাই গাই
অটোমেটিক,এনাবাদে
অট্টহাসি,কাক্ কাক্ আহ্জি
অট্টহাসি,বাবাক্ বাবাক্ আহ্জি
অট্টহাসি দেওয়া/হাসা,কাক্কাগেই আহ্জানা
অঢেল,গোধেল্
অঢেল,অধেল্
অঢেল,অঘুর্
অঢেল,অফুরন্দি
অত সহজে,হারাক্কাই
অত সহজে,হাড়া
